,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2008-05-16,635.2725,645.8125,630.0505,641.74,121.4345,287013.0,0.0,1.0
2008-05-15,648.687,651.6095,627.607,634.937,120.1471,472960.0,0.0,1.0
2008-05-14,637.1885,651.274,630.4815,644.423,121.9422,652311.0,0.0,1.0
2008-05-13,644.854,646.483,622.96,638.003,120.7274,1003122.0,0.0,1.0
2008-05-12,639.105,645.525,634.314,640.5905,121.2171,390846.0,0.0,1.0
2008-05-09,636.7095,646.052,632.398,640.83,121.2622,595484.0,0.0,1.0
2008-05-08,646.7705,651.5615,636.2305,641.1175,121.3168,552872.0,0.0,1.0
2008-05-07,652.0405,654.436,641.0215,651.322,123.2477,352320.0,0.0,1.0
2008-05-06,650.22,656.3525,643.896,653.286,123.6193,932024.0,0.0,1.0
2008-05-05,664.0175,664.0175,640.5905,656.8795,124.2993,1072665.0,0.0,1.0
2008-05-02,641.9795,664.401,641.9795,661.5745,125.1876,800942.0,0.0,1.0
2008-04-30,619.271,636.2305,617.067,634.506,120.0655,937299.0,0.0,1.0
2008-04-29,617.067,621.235,603.6525,613.1865,116.0314,810439.0,0.0,1.0
2008-04-28,616.109,616.109,602.5985,607.102,114.8799,639823.0,0.0,1.0
